iter	RMSE
0	346982.2595
1	332378.5598
2	319502.6617
3	307490.7902
4	294940.3226
5	283907.9796
6	273592.5549
7	263472.9135
8	254884.3332
9	246261.921
10	238183.5765
11	230600.1564
12	223779.4367
13	217021.817
14	210875.7712
15	205122.1911
16	199643.2642
17	194468.6624
18	189919.4312
19	185677.4637
20	181651.2825
21	177935.2576
22	174375.1962
23	171214.6471
24	167893.3643
25	165076.7673
26	162303.5074
27	159779.8463
28	157421.2203
29	155190.5629
30	153006.2455
31	150976.5367
32	149090.6869
33	147409.4967
34	145892.6036
35	144270.3995
36	142696.194
37	141396.1067
38	140081.0236
39	138942.8188
40	137669.2904
41	136486.5123
42	135486.9107
43	134642.2861
44	133659.9987
45	132888.6204
46	132024.0948
47	131211.7945
48	130440.773
49	129641.6623
50	128918.7959
51	128302.0084
52	127604.0632
53	126909.0952
54	126343.4695
55	125654.7155
56	125204.6488
57	124734.1759
58	124232.8194
59	123745.6899
60	123270.3271
61	122824.7943
62	122335.7887
63	121889.9188
64	121504.4471
65	121022.1842
66	120615.5955
67	120250.4504
68	119914.306
69	119554.1457
70	119193.382
71	118857.2525
72	118544.3417
73	118199.2337
74	117702.3628
75	117413.7671
76	117110.5791
77	116762.9447
78	116494.7123
79	116227.6263
80	115968.974
81	115717.2622
82	115528.1171
83	115246.5328
84	114979.2764
85	114704.4536
86	114542.9044
87	114392.9603
88	114125.1752
89	113900.4833
90	113587.3096
91	113397.4847
92	113227.633
93	113030.8111
94	112831.1924
95	112689.424
96	112524.4358
97	112340.8463
98	112227.1604
99	112036.8378
100	111872.66
101	111717.9032
102	111570.3991
103	111428.5587
104	111327.7938
105	111111.0487
106	110963.2363
107	110745.8692
108	110583.9255
109	110398.6578
110	110247.2201
111	110072.2098
112	109888.3159
113	109753.3731
114	109493.6712
115	109371.1337
116	109158.201
117	108958.2933
118	108772.0703
119	108577.6327
120	108443.331
121	108292.7492
122	108169.8612
123	107997.8952
124	107865.9873
125	107621.131
126	107463.8923
127	107309.928
128	107177.6815
129	107005.4101
130	106848.7887
131	106732.8898
132	106623.8799
133	106505.3311
134	106358.0496
135	106231.6492
136	106105.5473
137	106013.4858
138	105927.838
139	105772.4139
140	105636.527
141	105495.9841
142	105316.8765
143	105219.3024
144	105051.2941
145	104923.8946
146	104777.5496
147	104673.6869
148	104467.0293
149	104213.5324
150	104099.9702
