iter	Passed	Remaining
0	66	66000
1	81	40435
2	96	32048
3	100	25120
4	104	20748
5	107	17818
6	115	16373
7	124	15425
8	130	14394
9	134	13276
10	137	12359
11	140	11592
12	144	10950
13	147	10401
14	150	9908
15	154	9492
16	157	9126
17	161	8803
18	164	8506
19	168	8271
20	173	8074
21	176	7847
22	180	7687
23	184	7522
24	188	7343
25	194	7277
26	197	7126
27	201	6984
28	204	6855
29	208	6726
30	211	6611
31	214	6499
32	218	6397
33	221	6298
34	227	6263
35	235	6297
36	241	6297
37	245	6218
38	251	6188
39	255	6121
40	260	6102
41	264	6023
42	267	5947
43	272	5922
44	276	5870
45	279	5802
46	282	5737
47	289	5744
48	297	5772
49	303	5765
50	309	5755
51	313	5706
52	316	5658
53	325	5705
54	331	5699
55	336	5676
56	342	5661
57	350	5700
58	357	5703
59	363	5688
60	369	5693
61	373	5645
62	377	5620
63	389	5697
64	399	5743
65	408	5786
66	413	5752
67	417	5719
68	422	5694
69	427	5680
70	432	5658
71	446	5752
72	452	5742
73	473	5929
74	481	5936
75	485	5905
76	490	5884
77	494	5842
78	500	5834
79	504	5803
80	510	5786
81	514	5755
82	520	5750
83	524	5716
84	532	5727
85	538	5722
86	541	5684
87	546	5665
88	550	5633
89	556	5623
90	559	5588
91	565	5583
92	568	5548
93	577	5565
94	583	5562
95	591	5567
96	596	5553
97	601	5539
98	609	5545
99	618	5564
100	630	5610
101	640	5637
102	643	5603
103	647	5580
104	651	5556
105	656	5537
106	661	5520
107	666	5502
108	670	5482
109	674	5458
110	678	5430
111	681	5401
112	686	5388
113	689	5358
114	693	5337
115	699	5330
116	704	5316
117	709	5305
118	713	5285
119	720	5284
120	732	5321
121	739	5324
122	751	5357
123	760	5371
124	768	5382
125	777	5390
126	791	5437
127	797	5435
128	805	5435
129	809	5419
130	813	5394
131	816	5368
132	821	5356
133	825	5332
134	843	5405
135	854	5428
136	861	5428
137	868	5424
138	878	5440
139	888	5457
140	892	5439
141	898	5429
142	904	5417
143	910	5413
144	919	5421
145	924	5406
146	930	5399
147	935	5384
148	951	5433
149	961	5446
150	968	5447
151	974	5438
152	992	5493
153	1004	5516
154	1012	5520
155	1018	5508
156	1026	5511
157	1029	5486
158	1036	5480
159	1039	5457
160	1042	5434
161	1046	5410
162	1055	5419
163	1066	5436
